request_id,sample_id,condition,repetition,model,backend,task_type,transport,connection_mode,negotiated_http_version,completed,http_status,finish_reason,elapsed_seconds,input_tokens,output_tokens,token_f1,rouge_l,packets_total,bytes_total,packets_client_to_server,bytes_client_to_server,tcp_payload_bytes_client_to_server,packets_server_to_client,bytes_server_to_client,tcp_payload_bytes_server_to_client,tcp_retransmissions,udp_payload_bytes_client_to_server,udp_payload_bytes_server_to_client,quic_packets,tls_records,observed_tls_versions,observed_alpn,observed_tls_handshake_versions,observed_tls_supported_versions,workload,network_condition
conv-50::4::longllmlingua_2x,conv-50::4,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,3.851775,21347,12,0.0,0.16666666666666666,96,79015,74,73987,0,22,5028,0,0,70879,4104,96,0,,,,,qa,baseline_loopback
conv-50::4::longllmlingua_4x,conv-50::4,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,1.875827,9937,12,0.0,0.16666666666666666,61,40736,43,36012,0,18,4724,0,0,34206,3968,61,0,,,,,qa,baseline_loopback
conv-50::4::no_compression,conv-50::4,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,8.707684,45753,12,0.0,0.16666666666666666,167,159549,138,153987,0,29,5562,0,0,148191,4344,167,0,,,,,qa,baseline_loopback
conv-50::55::longllmlingua_2x,conv-50::55,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,3.866375,21472,12,0.3448275862068966,0.45161290322580644,96,80108,73,75003,0,23,5105,0,0,71937,4139,96,0,,,,,qa,baseline_loopback
conv-50::55::longllmlingua_4x,conv-50::55,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,1.949322,10126,13,0.3333333333333333,0.43749999999999994,63,42507,45,37544,0,18,4963,0,0,35654,4207,63,0,,,,,qa,baseline_loopback
conv-50::55::no_compression,conv-50::55,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,8.709399,45756,12,0.3448275862068966,0.45161290322580644,179,160470,139,154078,0,40,6392,0,0,148240,4712,179,0,,,,,qa,baseline_loopback
conv-50::85::longllmlingua_2x,conv-50::85,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,3.619585,20606,5,0.5,1.0,84,74200,65,71007,0,19,3193,0,0,68277,2395,84,0,,,,,qa,baseline_loopback
conv-50::85::longllmlingua_4x,conv-50::85,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,1.717147,9782,5,0.5,1.0,46,38030,36,35519,0,10,2511,0,0,34007,2091,46,0,,,,,qa,baseline_loopback
conv-50::85::no_compression,conv-50::85,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,8.73955,45751,5,0.5,1.0,160,157430,131,153478,0,29,3952,0,0,147976,2734,160,0,,,,,qa,baseline_loopback
conv-26::52::longllmlingua_2x,conv-26::52,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.728641,13993,19,0.0,0.14285714285714288,64,58136,33,49002,46828,31,9134,7080,0,0,0,0,29,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::52::longllmlingua_4x,conv-26::52,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,1.662307,7508,19,0.0,0.14285714285714288,61,35665,31,26599,24557,30,9066,7078,0,0,0,0,28,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::52::no_compression,conv-26::52,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,6.416684,33258,25,0.2,0.2,82,121149,42,109892,107124,40,11257,8609,0,0,0,0,38,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::55::longllmlingua_2x,conv-26::55,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.327027,13565,4,0.0,0.25,34,51640,18,47332,46148,16,4308,3244,0,0,0,0,14,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::55::longllmlingua_4x,conv-26::55,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,1.957713,7783,28,0.19047619047619044,0.36363636363636365,68,38701,34,28567,26323,34,10134,7890,0,0,0,0,33,0x0303,,,,qa,baseline_loopback
