workload,transport,sample_id,condition,elapsed_seconds_ratio,input_tokens_ratio,output_tokens_ratio,packets_total_ratio,bytes_total_ratio,bytes_client_to_server_ratio,bytes_server_to_client_ratio
qa,http3,conv-26::52,longllmlingua_2x,0.42578213684985167,0.42074087437609,0.76,0.5534591194968553,0.463170584689572,0.44099643509260067,0.7340414232607542
qa,http3,conv-26::52,longllmlingua_4x,0.25798284573022745,0.22575019544169825,0.76,0.41509433962264153,0.271416515973478,0.23485783844883054,0.7180031864046734
qa,http3,conv-26::55,longllmlingua_2x,0.3867732746374219,0.40782274066502316,1.0,0.46153846153846156,0.4381059423100022,0.4300907706258859,0.7445304611242006
qa,http3,conv-26::55,longllmlingua_4x,0.32121390448715753,0.23399074018399374,7.0,0.7948717948717948,0.3892015718036275,0.2629618869020892,5.215415684954561
qa,http3,conv-26::62,longllmlingua_2x,0.4097585506808036,0.40126871505020745,1.2727272727272727,0.59375,0.4549050898706535,0.4270375365644322,1.1072160721607216
qa,http3,conv-26::62,longllmlingua_4x,0.2596294494491014,0.23387048283326317,1.2727272727272727,0.4375,0.279144968923232,0.24562540505508748,1.0637556375563755
qa,http3,conv-26::66,longllmlingua_2x,0.48624848761539696,0.41950999549075607,1.3703703703703705,0.7668711656441718,0.5299636224392111,0.4688698065747246,1.2299741602067182
qa,http3,conv-26::66,longllmlingua_4x,0.3011481315740703,0.22179467909213887,1.2222222222222223,0.5766871165644172,0.3255233263131023,0.2587214849509932,1.0909361955873584
qa,http3,conv-30::27,longllmlingua_2x,0.46379237376438254,0.42771155434910896,1.1176470588235294,0.6956521739130435,0.5048162024216756,0.4613828269361214,1.069311445508436
qa,http3,conv-30::27,longllmlingua_4x,0.2953604381381038,0.23391950902867933,1.1176470588235294,0.5130434782608696,0.3030352391811913,0.2493626178279887,1.000607995136039
qa,http3,conv-30::77,longllmlingua_2x,0.44033740151137857,0.4277508949998033,0.9285714285714286,0.6095238095238096,0.4850156946968445,0.458026544107302,0.9033254588406324
qa,http3,conv-30::77,longllmlingua_4x,0.2679010538795804,0.22872654313702348,0.9285714285714286,0.47619047619047616,0.2889145878076987,0.249120667823477,0.9056878066509176
qa,http3,conv-41::53,longllmlingua_2x,0.4257566347794904,0.45021316717225546,1.0833333333333333,0.547486033519553,0.4739009325420855,0.4584475811258673,0.9341381146813421
qa,http3,conv-41::53,longllmlingua_4x,0.21438487640851886,0.2159957366565549,1.0833333333333333,0.3575418994413408,0.2516479523867195,0.23061562671371688,0.8780401207172022
qa,http3,conv-42::67,longllmlingua_2x,0.350188846790941,0.3789409353992163,1.7142857142857142,0.5,0.3784870904423977,0.3571556754682888,1.2454728370221329
qa,http3,conv-42::67,longllmlingua_4x,0.1977669897145878,0.20695977280080527,1.7142857142857142,0.4506172839506173,0.3054507020987468,0.2459297396642306,2.7245975855130786
qa,http3,conv-44::98,longllmlingua_2x,0.34575010824861513,0.3888907585649862,1.0,0.43010752688172044,0.3518580715059588,0.33836386924319206,0.8335984095427436
qa,http3,conv-44::98,longllmlingua_4x,0.18714446179802674,0.17882143097529785,2.2222222222222223,0.3924731182795699,0.22605633802816902,0.19311132149022664,1.4021868787276341
qa,http3,conv-47::150,longllmlingua_2x,0.4503219664477297,0.46487826584451086,1.4166666666666667,0.6325301204819277,0.49762519995078136,0.47246106037786206,1.2619185485427524
qa,http3,conv-47::150,longllmlingua_4x,0.21531238804854322,0.21831627571885662,1.0,0.37349397590361444,0.2556478405315615,0.23417154404895812,0.9079328314997105
qa,http3,conv-48::175,longllmlingua_2x,0.3379387833969089,0.3426901069740443,0.9545454545454546,0.484375,0.36284119590175234,0.33540113180316244,0.8540509915014164
qa,http3,conv-48::175,longllmlingua_4x,0.2224733232208251,0.20837134090720624,0.9545454545454546,0.4010416666666667,0.2443181477551363,0.21083948397878186,0.8436260623229461
qa,http3,conv-49::105,longllmlingua_2x,0.4020610345392965,0.4129085754025571,1.0,0.5323741007194245,0.45084216466077653,0.43349785425003423,0.867504835589942
qa,http3,conv-49::105,longllmlingua_4x,0.232211181262778,0.22487027229444176,1.0,0.381294964028777,0.26979415470475926,0.24604062834644402,0.8404255319148937
qa,http3,conv-50::135,longllmlingua_2x,0.4261024167228342,0.4560832222392202,1.0,0.49700598802395207,0.47665574722437876,0.46890266511413087,0.7299192520186996
qa,http3,conv-50::135,longllmlingua_4x,0.2615422421775289,0.20799003431169003,4.142857142857143,0.562874251497006,0.29089268018657727,0.23518965438732298,2.110497237569061
qa,http3,conv-50::4,longllmlingua_2x,0.4423420739659363,0.4665704981094136,1.0,0.5748502994011976,0.49523970692389174,0.4804756245657101,0.9039913700107874
qa,http3,conv-50::4,longllmlingua_4x,0.21542203414823044,0.2171879439599589,1.0,0.3652694610778443,0.25531968235463715,0.2338638976017456,0.8493347716648687
