method,method_family,budget_label,n,token_f1,token_f1_ci_low,token_f1_ci_high,rouge_l,rouge_l_ci_low,rouge_l_ci_high,exact_match,exact_match_ci_low,exact_match_ci_high,date_f1,date_f1_ci_low,date_f1_ci_high,number_f1,number_f1_ci_low,number_f1_ci_high,entity_f1,entity_f1_ci_low,entity_f1_ci_high,llm_judge_score,llm_judge_score_ci_low,llm_judge_score_ci_high,evidence_recall,evidence_recall_ci_low,evidence_recall_ci_high,evidence_session_recall,evidence_session_recall_ci_low,evidence_session_recall_ci_high,answerable_context_rate,answerable_context_rate_ci_low,answerable_context_rate_ci_high,perplexity,perplexity_ci_low,perplexity_ci_high,latency,latency_ci_low,latency_ci_high
dense_retrieval_window,real_method,512,32,0.09704697714566135,0.05276467547437942,0.15526093058987797,0.16159827015090172,0.10325722431807959,0.22659958645156014,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.16666666666666666,0.09933712121212121,0.025,0.1924573863636363,0.5161290322580645,0.3225806451612903,0.6774193548387096,0.41651785714285716,0.2740327380952381,0.5703273809523809,0.6885416666666666,0.546875,0.8281510416666666,0.15625,0.0625,0.28125,1891840121.2154193,761021.7828387875,5666002095.099167,0.4243,0.357423984375,0.495192734375
dense_retrieval_window,real_method,64,32,0.029018164540063517,0.013192501864876386,0.04827737862494496,0.05272236430804206,0.024737502156659767,0.08777119933118172,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.13333333333333336,0.065625,0.0,0.159375,0.125,0.03125,0.25,0.0546875,0.0,0.140625,0.6104166666666666,0.459375,0.765625,0.0,0.0,0.0,324697400.1845917,16613622.079381736,916739932.3013593,0.40480625000000003,0.36490898437499997,0.44952531249999994
dense_retrieval_window,real_method,None,32,0.10983200261556027,0.06463459738437718,0.16235636658999394,0.15489436829109152,0.10072617986203083,0.21459908409689388,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.13084935897435898,0.04851562500000001,0.22732371794871792,0.6935483870967742,0.5483870967741935,0.8387096774193549,0.7633928571428572,0.6205264136904762,0.8880301339285713,0.9640625,0.9203125,1.0,0.25,0.09375,0.40625,1111225702.6260357,20759291.01487138,2793074126.644011,2.0714812499999997,1.83162625,2.3304831249999998
hybrid,real_method,1024,32,0.07764122880856804,0.042572997288555806,0.11977960408082329,0.11566968400105529,0.07110619235459346,0.17250380107033841,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.10610119047619047,0.029017857142857144,0.21446056547619044,0.3387096774193548,0.1935483870967742,0.5161290322580645,0.27529761904761907,0.13392857142857142,0.43154761904761907,0.653125,0.5051822916666666,0.8072916666666666,0.09375,0.0,0.21875,11991545.841204166,1056085.1353622838,30536970.13002907,0.589040625,0.46905890625,0.772811953125
hybrid,real_method,128,32,0.02285133256201031,0.00784313725490196,0.041129033588072905,0.03161869367312142,0.010937500000000003,0.05791829605483498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.08333333333333333,0.015625,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5362459773.691273,50254970.43799648,15792049642.452843,0.373,0.3348658593750001,0.413120234375
hybrid,real_method,2048,32,0.08263158512239395,0.043712242108381816,0.1242957970338485,0.14451942458448844,0.0911496952224869,0.20298994827197225,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.37037037037037035,0.09479166666666666,0.025,0.1885677083333333,0.5,0.3387096774193548,0.6612903225806451,0.31279761904761905,0.16517857142857142,0.47089285714285706,0.809375,0.68125,0.921875,0.125,0.03125,0.25,5506959.931201905,599366.602095776,16737545.481637659,0.71230625,0.5894618750000001,0.8717365625
hybrid,real_method,256,32,0.03808697601847757,0.015090902808491818,0.07339535265860729,0.04957583615429978,0.020069409817317616,0.08843531428259563,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.16666666666666666,0.0625,0.0,0.14583333333333331,0.1774193548387097,0.06451612903225806,0.30685483870967706,0.0625,0.0,0.15625,0.2786458333333333,0.13541666666666666,0.4375,0.03125,0.0,0.09375,1475619128.4736457,30721069.95658687,4221569019.3768706,0.4643625,0.386166640625,0.5621514843750001
hybrid,real_method,4096,32,0.07792367109411441,0.046097258770913266,0.11731052474048093,0.14164399696519858,0.09441856525338221,0.1966281231572146,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.103125,0.036328125,0.2020833333333333,0.48333333333333334,0.31666666666666665,0.6666666666666666,0.32507440476190474,0.18279017857142857,0.47922061011904754,0.9875,0.9624999999999999,1.0,0.15625,0.03125,0.28125,10631434.031077055,1859464.1133763422,23609657.223373964,0.9211437499999999,0.807444453125,1.045076015625
hybrid,real_method,512,32,0.060318147624649175,0.03279913206311233,0.09624017733320173,0.10247700015549069,0.059592344588353684,0.15099561043589257,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.08854166666666666,0.020833333333333332,0.18749999999999997,0.3387096774193548,0.1935483870967742,0.5161290322580645,0.20238095238095238,0.07738095238095238,0.3483258928571427,0.5401041666666666,0.38274739583333334,0.6989583333333333,0.0625,0.0,0.15625,21419301.04169483,1590308.5832928908,54851659.76348979,0.47774062500000003,0.3937646875,0.5664210937499999
hybrid,real_method,64,32,0.03196594427244582,0.010416666666666666,0.0666672041623667,0.03959470253585798,0.013354162460178579,0.07674793806133247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05208333333333333,0.0,0.13541666666666666,0.0625,0.0,0.15625,0.03125,0.0,0.09375,0.0703125,0.0,0.1640625,0.03125,0.0,0.09375,129159799.14835767,22094905.022138126,277602055.741717,0.380521875,0.350250546875,0.411981796875
