category,method_display,method_family,budget_label,token_f1,rouge_l,exact_match,date_f1,number_f1,entity_f1,llm_judge_score,evidence_recall,evidence_session_recall,answerable_context_rate
1,last_k_turns,real_method,512,0.022090053164632157,0.04037617554858935,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
1,last_k_turns,real_method,64,0.022090053164632157,0.04037617554858935,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
1,last_k_turns,real_method,None,0.022090053164632157,0.04037617554858935,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
1,no_compression,real_method,1024,0.08029259373160923,0.12486951825355647,0.0,,0.0,0.07575757575757575,0.7777777777777778,1.0,1.0,0.2222222222222222
1,no_compression,real_method,128,0.08029259373160923,0.12486951825355647,0.0,,0.0,0.07575757575757575,0.7777777777777778,1.0,1.0,0.2222222222222222
1,no_compression,real_method,2048,0.08029259373160923,0.12486951825355647,0.0,,0.0,0.07575757575757575,0.7777777777777778,1.0,1.0,0.2222222222222222
1,no_compression,real_method,256,0.08029259373160923,0.12486951825355647,0.0,,0.0,0.07575757575757575,0.7777777777777778,1.0,1.0,0.2222222222222222
1,no_compression,real_method,4096,0.08029259373160923,0.12486951825355647,0.0,,0.0,0.07575757575757575,0.7777777777777778,1.0,1.0,0.2222222222222222
1,no_compression,real_method,512,0.08029259373160923,0.12486951825355647,0.0,,0.0,0.07575757575757575,0.7777777777777778,1.0,1.0,0.2222222222222222
1,no_compression,real_method,64,0.08029259373160923,0.12486951825355647,0.0,,0.0,0.07575757575757575,0.7777777777777778,1.0,1.0,0.2222222222222222
1,no_compression,real_method,None,0.08029259373160923,0.12486951825355647,0.0,,0.0,0.07575757575757575,0.7777777777777778,1.0,1.0,0.2222222222222222
1,retrieval,real_method,1024,0.048252702709662795,0.07902433727051147,0.0,,,0.1111111111111111,0.16666666666666666,0.08994708994708994,0.6370370370370371,0.0
1,retrieval,real_method,128,0.02222222222222222,0.036111111111111115,0.0,,,0.1111111111111111,0.0,0.037037037037037035,0.1388888888888889,0.0
1,retrieval,real_method,2048,0.08131893649135029,0.1510129977917093,0.0,,,0.07407407407407407,0.4444444444444444,0.11216931216931217,0.7111111111111111,0.2222222222222222
1,retrieval,real_method,256,0.04938271604938271,0.08200129954515918,0.0,,,0.07407407407407407,0.2222222222222222,0.05291005291005291,0.2351851851851852,0.0
1,retrieval,real_method,4096,0.0562247501368311,0.12444462761015013,0.0,,,0.07407407407407407,0.5625,0.1558201058201058,0.9555555555555555,0.2222222222222222
1,retrieval,real_method,512,0.032275132275132276,0.050505050505050504,0.0,,,0.1111111111111111,0.16666666666666666,0.05291005291005291,0.5037037037037037,0.0
1,retrieval,real_method,64,0.013071895424836603,0.024183006535947713,0.0,,,0.1111111111111111,0.0,0.0,0.1388888888888889,0.0
1,retrieval,real_method,None,0.06504309228850658,0.1356250387905613,0.0,,,0.07407407407407407,0.5625,0.19285714285714287,0.9555555555555555,0.2222222222222222
1,retrieval_window,real_method,1024,0.08235172235172235,0.1957283046171935,0.0,,,0.07407407407407407,0.7222222222222222,0.2642857142857143,0.6000000000000001,0.1111111111111111
1,retrieval_window,real_method,128,0.013071895424836603,0.05751633986928105,0.0,,,0.18518518518518517,0.16666666666666666,0.05,0.28148148148148144,0.1111111111111111
1,retrieval_window,real_method,2048,0.05756613756613757,0.14241705725576692,0.0,,,0.07407407407407407,0.5,0.3013227513227513,0.6370370370370371,0.1111111111111111
1,retrieval_window,real_method,256,0.044770044770044766,0.12726697171141615,0.0,,,0.07407407407407407,0.3888888888888889,0.14656084656084656,0.28148148148148144,0.1111111111111111
1,retrieval_window,real_method,4096,0.046704803973228584,0.14728954376089742,0.0,,,0.07407407407407407,0.6111111111111112,0.3661375661375661,0.7018518518518518,0.1111111111111111
1,retrieval_window,real_method,512,0.06084656084656085,0.17957523957523958,0.0,,,0.07407407407407407,0.5555555555555556,0.24841269841269842,0.37407407407407406,0.1111111111111111
1,retrieval_window,real_method,64,0.01932367149758454,0.02818035426731079,0.0,,,0.1111111111111111,0.0,0.0,0.28148148148148144,0.0
1,retrieval_window,real_method,None,0.0729028173472618,0.16006764589692882,0.0,,,0.07407407407407407,0.7222222222222222,0.4883597883597884,0.9555555555555555,0.2222222222222222
1,sliding_window,real_method,1024,0.014550264550264551,0.02516795865633075,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
1,sliding_window,real_method,128,0.00966183574879227,0.02077294685990338,0.0,,,0.0,0.0,0.0,0.0,0.0
1,sliding_window,real_method,2048,0.010206228956228957,0.02106586224233283,0.0,,,0.0,0.05555555555555555,0.0,0.0,0.0
1,sliding_window,real_method,256,0.00966183574879227,0.02077294685990338,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
